Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity
"U, Department of Orthopedic Surgery",A12CX**,722262,Fosfat,1 mmol/ml,oral opløsning,500 ml,314.91,3.0,,,,,,,,,,,,,,,,,,,,,,,,,103.25,1.0,,,,,103.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.41,1.0,,,,,,,,,,,500.0,1.0
"U, Department of Orthopedic Surgery",A12AA04,798496,Østersskal,500 mg,kapsler,90 stk.,54.19,1.0,54.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.0
"U, Department of Orthopedic Surgery",B01AB01,742296,Heparin ukonserveret SAD,100 IE/ml,injektionsvæske,10 ml x10,582.56,2.0,,,,,,,,,,,,,,,,,,,,,288.78,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.78,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0
"U, Department of Orthopedic Surgery",B01AB10,46228,Innohep,4.500 anti-Xa IE,"inj.vsk,opl.,sprøjte",10 stk. safety,37366.81,259.0,,,698.55,5.0,698.55,5.0,698.55,5.0,698.55,5.0,698.55,5.0,698.55,5.0,279.42,2.0,1397.1,10.0,,,1397.1,10.0,2095.65,15.0,,,,,,,698.55,5.0,1257.39,9.0,731.75,5.0,1170.8,8.0,,,1463.5,10.0,731.75,5.0,,,731.75,5.0,,,1463.5,10.0,,,731.75,5.0,,,731.75,5.0,,,731.75,5.0,731.75,5.0,,,2927.0,20.0,,,1463.5,10.0,,,1463.5,10.0,731.75,5.0,731.75,5.0,731.75,5.0,731.75,5.0,,,1463.5,10.0,1463.5,10.0,1463.5,10.0,,,1463.5,10.0,731.75,5.0,731.75,5.0,731.75,5.0,0.0,10.0
"U, Department of Orthopedic Surgery",B01AB10,438148,Innohep,14.000 anti-Xa IE,"inj.vsk,opl.,sprøjte",6 stk. safety,182.38,1.0,,,,,182.38,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
"U, Department of Orthopedic Surgery",B01AB10,482567,Innohep,8.000 anti-Xa IE,"inj.vsk,opl.,sprøjte",6 stk. safety,154.39,1.0,,,,,,,,,,,,,,,,,154.39,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
"U, Department of Orthopedic Surgery",B01AB10,568424,Innohep,3.500 anti-Xa IE,"inj.vsk,opl.,sprøjte",10 stk. safety,2396.95,15.0,,,,,,,,,,,,,,,,,,,,,,,773.95,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.5,5.0,,,,,,,,,,,0.0,10.0
"U, Department of Orthopedic Surgery",B01AB10,578676,Innohep,10.000 anti-Xa IE,"inj.vsk,opl.,sprøjte",6 stk. safety,534.38,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.84,2.0,,,,,,,,,,,0.0,6.0
"U, Department of Orthopedic Surgery",B01AC04,493112,Clopidogrel Zentiva,75 mg,filmovertrukne tabl.,84 stk. (blister),29.57,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.57,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,84.0
"U, Department of Orthopedic Surgery",B01AC06,407777,Hjertemagnyl,75 mg,filmovertrukne tabl.,100 stk,26.98,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.32,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",B01AC07,192228,Dipyridamol Alternova,200 mg,"depotkapsler, hårde",60 stk.,114.42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0
"U, Department of Orthopedic Surgery",B01AF01,484658,Xarelto,10 mg,filmovertrukne tabl.,30 stk. (blister),52.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.27,1.0,,,,,,,,,,,,,,,0.0,30.0
"U, Department of Orthopedic Surgery",B02AA02,138600,Pilexam,100 mg/ml,"inj.væske, opløsning",10 x 10 ml,190.26,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.26,2.0,,,,,,,10.0,10.0
"U, Department of Orthopedic Surgery",B02AA02,163962,Tranexamic acid Stragen,100 mg/ml,"inj.-/inf.vsk.,opl.",5 x 10 ml,61.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0
"U, Department of Orthopedic Surgery",B03AC**,99092,Venofer,20 mg/ml,inj.v./konc.t.inf.op,5 X 5 ML,203.18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.18,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
"U, Department of Orthopedic Surgery",B03BA01,553709,Permadoze Oral,1 mg,filmovertrukne tabl.,120 stk. (2 x 60),127.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,120.0
"U, Department of Orthopedic Surgery",B03AA02,220793,Jern C MEDIC,_,tabletter,200 stk.,104.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,200.0
"U, Department of Orthopedic Surgery",B05BA03,165859,Glucos Fresenius Kabi,100 mg/ml,"inf.væske, opløsning",20 x 500 ml (Freeflex ),184.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,20.0
"U, Department of Orthopedic Surgery",B05BA03,740050,Glukose isotonisk SAD,55 g/l,infusionsvæske,1000 ml,664.95,33.0,141.05,7.0,,,,,,,,,40.3,2.0,,,,,,,,,,,,,,,,,60.45,3.0,,,,,,,,,,,,,,,,,,,20.15,1.0,,,,,,,,,,,20.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,60.45,3.0,,,,,,,,,282.1,14.0,,,40.3,2.0,1000.0,1.0
"U, Department of Orthopedic Surgery",B05BB01,48028,Natriumklorid Fres.Kabi 9mg/ml,9 mg/ml,"inf.væske, opløsning",50 x 100 ml (Freeflex),4671.45,21.0,,,222.45,1.0,,,222.45,1.0,222.45,1.0,222.45,1.0,,,,,,,222.45,1.0,444.9,2.0,667.35,3.0,,,,,,,,,222.45,1.0,222.45,1.0,,,444.9,2.0,,,,,,,,,222.45,1.0,,,222.45,1.0,,,,,,,222.45,1.0,222.45,1.0,,,222.45,1.0,,,,,222.45,1.0,222.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,50.0
"U, Department of Orthopedic Surgery",B05BB01,420079,Natriumklorid B. Braun,9 mg/ml,"inf.væske, opløsning",20 x 50 ml,3916.16,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.52,1.0,202.56,3.0,67.52,1.0,202.56,3.0,,,135.04,2.0,135.04,2.0,270.08,4.0,,,67.52,1.0,,,135.04,2.0,135.04,2.0,67.52,1.0,135.04,2.0,67.52,1.0,270.08,4.0,,,135.04,2.0,135.04,2.0,67.52,1.0,270.08,4.0,,,67.52,1.0,270.08,4.0,,,202.56,3.0,202.56,3.0,202.56,3.0,135.04,2.0,135.04,2.0,67.52,1.0,67.52,1.0,50.0,20.0
"U, Department of Orthopedic Surgery",B05BB01,537465,Natriumklorid Fres.Kabi 9mg/ml,9 mg/ml,"inf.væske, opløsning",30 x 250 ml (Freeflex),3450.93,21.0,,,164.33,1.0,164.33,1.0,164.33,1.0,,,164.33,1.0,,,164.33,1.0,,,,,164.33,1.0,492.99,3.0,,,,,,,,,164.33,1.0,164.33,1.0,,,164.33,1.0,,,,,,,,,164.33,1.0,,,164.33,1.0,,,,,,,164.33,1.0,,,,,164.33,1.0,164.33,1.0,164.33,1.0,,,328.66,2.0,164.33,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,30.0
"U, Department of Orthopedic Surgery",B05BB01,583916,Natriumklorid B. Braun,9 mg/ml,"inf.væske, opløsning",10 x 250 ml,1368.92,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.78,2.0,97.78,2.0,195.56,4.0,,,146.67,3.0,97.78,2.0,97.78,2.0,97.78,2.0,146.67,3.0,97.78,2.0,293.34,6.0,250.0,10.0
"U, Department of Orthopedic Surgery",B05BB01,740027,Ringer-laktat SAD,_,infusionsvæske,1000 ml,5195.34,243.0,64.14,3.0,42.76,2.0,128.28,6.0,128.28,6.0,85.52,4.0,21.38,1.0,42.76,2.0,,,106.9,5.0,,,,,277.94,13.0,,,,,42.76,2.0,21.38,1.0,128.28,6.0,149.66,7.0,,,21.38,1.0,128.28,6.0,192.42,9.0,106.9,5.0,,,192.42,9.0,85.52,4.0,64.14,3.0,85.52,4.0,149.66,7.0,42.76,2.0,85.52,4.0,,,128.28,6.0,42.76,2.0,64.14,3.0,85.52,4.0,21.38,1.0,42.76,2.0,106.9,5.0,192.42,9.0,235.18,11.0,299.32,14.0,,,192.42,9.0,427.6,20.0,128.28,6.0,128.28,6.0,235.18,11.0,128.28,6.0,21.38,1.0,106.9,5.0,213.8,10.0,1000.0,1.0
"U, Department of Orthopedic Surgery",B05BB01,740035,Natriumklorid isotonisk SAD,9 g/l,infusionsvæske,1000 ml,3164.69,167.0,75.76,4.0,,,150.0,8.0,93.75,5.0,37.5,2.0,75.0,4.0,56.25,3.0,,,56.25,3.0,,,76.52,4.0,191.3,10.0,,,,,286.95,15.0,19.13,1.0,133.91,7.0,57.39,3.0,,,38.26,2.0,38.26,2.0,114.78,6.0,38.26,2.0,,,153.04,8.0,38.26,2.0,,,57.39,3.0,19.13,1.0,153.04,8.0,19.13,1.0,,,168.75,9.0,18.75,1.0,,,56.25,3.0,75.0,4.0,75.0,4.0,56.25,3.0,37.5,2.0,93.75,5.0,112.5,6.0,,,56.25,3.0,187.5,10.0,37.5,2.0,95.65,5.0,19.13,1.0,,,76.52,4.0,,,19.13,1.0,1000.0,1.0
"U, Department of Orthopedic Surgery",B05BB01,740142,Natriumklorid isotonisk SAD,9 g/l,infusionsvæske,500 ml,6300.45,359.0,666.9,38.0,421.2,24.0,333.45,19.0,438.75,25.0,473.85,27.0,351.0,20.0,473.85,27.0,,,105.3,6.0,,,70.2,4.0,35.1,2.0,,,,,,,35.1,2.0,35.1,2.0,52.65,3.0,,,105.3,6.0,105.3,6.0,35.1,2.0,,,,,298.35,17.0,87.75,5.0,52.65,3.0,35.1,2.0,17.55,1.0,52.65,3.0,,,,,,,35.1,2.0,175.5,10.0,70.2,4.0,403.65,23.0,70.2,4.0,,,280.8,16.0,210.6,12.0,52.65,3.0,,,52.65,3.0,122.85,7.0,122.85,7.0,52.65,3.0,70.2,4.0,70.2,4.0,17.55,1.0,210.6,12.0,,,500.0,1.0
"U, Department of Orthopedic Surgery",B05BB01,741975,Natriumklorid isotonisk SAD,9 g/l,infusionsvæske,100 ml,12700.68,971.0,,,222.36,17.0,130.8,10.0,,,26.16,2.0,209.28,16.0,78.48,6.0,,,,,,,,,170.04,13.0,,,,,91.56,7.0,,,,,156.96,12.0,,,,,,,117.72,9.0,,,,,,,,,,,13.08,1.0,183.12,14.0,52.32,4.0,784.8,60.0,,,287.76,22.0,261.6,20.0,,,392.4,30.0,91.56,7.0,392.4,30.0,222.36,17.0,876.36,67.0,1177.2,90.0,693.24,53.0,,,758.64,58.0,981.0,75.0,732.48,56.0,889.44,68.0,1177.2,90.0,693.24,53.0,52.32,4.0,784.8,60.0,,,100.0,1.0
"U, Department of Orthopedic Surgery",B05BB01,747931,Natriumklorid isotonisk SAD,9 g/l,infusionsvæske,250 ml,5989.8,402.0,357.6,24.0,447.0,30.0,223.5,15.0,,,74.5,5.0,283.1,19.0,59.6,4.0,,,,,,,89.4,6.0,89.4,6.0,,,,,119.2,8.0,29.8,2.0,44.7,3.0,29.8,2.0,,,,,59.6,4.0,14.9,1.0,,,,,89.4,6.0,,,29.8,2.0,74.5,5.0,,,29.8,2.0,298.0,20.0,,,14.9,1.0,253.3,17.0,134.1,9.0,,,,,208.6,14.0,59.6,4.0,447.0,30.0,417.2,28.0,298.0,20.0,,,208.6,14.0,432.1,29.0,119.2,8.0,402.3,27.0,223.5,15.0,193.7,13.0,29.8,2.0,104.3,7.0,,,250.0,1.0
"U, Department of Orthopedic Surgery",B05BB02,740001,Kalium-natrium-glukose SAD,_,infusionsvæske,1000 ml,1176.82,58.0,40.58,2.0,,,,,40.58,2.0,20.29,1.0,,,20.29,1.0,,,20.29,1.0,,,,,20.29,1.0,,,,,405.8,20.0,,,40.58,2.0,40.58,2.0,,,,,40.58,2.0,,,,,,,20.29,1.0,20.29,1.0,,,,,,,,,40.58,2.0,,,,,,,20.29,1.0,,,,,,,,,60.87,3.0,40.58,2.0,20.29,1.0,,,81.16,4.0,121.74,6.0,20.29,1.0,,,40.58,2.0,,,,,,,,,1000.0,1.0
"U, Department of Orthopedic Surgery",B05AA01,109697,Human Albumin CSL Behring,20%,"inf.væske, opløsning",1 x 100 ml,1498.05,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498.05,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0
"U, Department of Orthopedic Surgery",C01CA24,183660,Jext,300 mikrogram,"inj.væske, opl., pen",1 stk.,259.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"U, Department of Orthopedic Surgery",C01CA24,744425,Adrenalin SAD,1 mg/ml,injektionsvæske,1 ml amp x10,304.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0
"U, Department of Orthopedic Surgery",C01DA02,422162,Nitrolingual,"0,4 mg/dosis",sublingualspray,200 doser,195.84,4.0,,,,,,,48.96,1.0,,,48.96,1.0,48.96,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.96,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,200.0
"U, Department of Orthopedic Surgery",C01DA02,531020,Glytrin,"0,4 mg/dosis",sublingualspray,200 doser,42.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.97,1.0,,,,,,,,,,,0.0,200.0
"U, Department of Orthopedic Surgery",C01DA14,168697,Farmidur,30 mg,depottabletter,100 stk.,85.39,1.0,,,,,85.39,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C01AA05,472229,Digoxin DAK,"62,5 mikrogram",tabletter,100 stk.,108.69,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.23,1.0,72.46,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C03AB01,192617,Centyl med Kaliumklorid,"2,5+573 mg",overtrukne tabletter,100 stk.,101.94,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.94,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C03BA08,93725,Metolazon Abcur,5 mg,tabletter,100 stk. (blister),1322.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C03CA01,53556,Furosemid Accord,10 mg/ml,"inj.-/inf.vsk.,opl.",10 x 4 ml,353.04,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.26,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.26,2.0,88.26,2.0,,,,,,,88.26,2.0,,,,,,,,,,,4.0,10.0
"U, Department of Orthopedic Surgery",C03CA01,54293,Furosemid Accord,10 mg/ml,"inj.-/inf.vsk.,opl.",10 x 2 ml,167.09,7.0,,,,,23.87,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.48,4.0,,,,,,,47.74,2.0,,,,,,,,,,,2.0,10.0
"U, Department of Orthopedic Surgery",C03CA01,510553,Furix,40 mg,tabletter,100 stk.,19.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,2.0,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C03CA02,1009,Burinex,"0,5 mg/ml","inj.væske, opløsning",5 amp. x 4 ml,92.24,1.0,,,,,,,,,,,,,,,,,,,,,92.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0
"U, Department of Orthopedic Surgery",C03CA02,157984,Bumetanid Orifarm,2 mg,tabletter,100 stk. (blister),404.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.54,1.0,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C03DA01,441341,Spirix,25 mg,tabletter,100 stk.,51.62,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.62,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C03DA04,550212,Eplerenon Medical Valley,25 mg,filmovertrukne tabl.,30 stk. (blister),24.08,1.0,,,,,,,,,,,,,24.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"U, Department of Orthopedic Surgery",C03DA04,576472,Eplerenon Stada,25 mg,filmovertrukne tabl.,30 stk. (blister),129.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,1.0,,,,,,,,,,,,,0.0,30.0
"U, Department of Orthopedic Surgery",C03EA01,29166,Sparkal Mite,"25 + 2,5 mg",tabletter,100 stk.,269.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C03AA03,483968,Hydromed,"12,5 mg",tabletter,100 stk. (blister),70.72,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.36,1.0,35.36,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C05AA08,580042,Doloproct,_,suppositorier,10 stk.,162.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,1.0,,,,,,,80.0,1.0,,,,,,,,,,,,,,,,,0.0,10.0
"U, Department of Orthopedic Surgery",C07AB02,182416,Metoprololsuccinat Hexal,50 mg,depottabletter,100 stk.,64.59,4.0,,,,,,,,,,,,,,,,,,,,,,,16.34,1.0,,,,,,,,,,,,,,,16.13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07,1.0,,,,,,,,,,,16.05,1.0,,,,,,,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C07AB07,17505,Bisoprolol Stada,5 mg,filmovertrukne tabl.,100 stk. (blister),13.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95,1.0,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C07AB12,551921,Nebivolol Orion,5 mg,tabletter,30 stk. (blister),29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"U, Department of Orthopedic Surgery",C08CA01,448413,Amlodipin Sandoz,5 mg,tabletter,100 stk.,105.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,1.0,,,,,,,35.0,1.0,,,,,,,,,,,0.0,100.0
"U, Department of Orthopedic Surgery",C08DA01,465307,Isoptin Retard,120 mg,depottabletter,98 stk. (blister),65.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.65,1.0,,,,,,,,,,,,,,,0.0,98.0
"U, Department of Orthopedic Surgery",C09BA05,461548,Ranid,5+25 mg,tabletter,120 stk. (blister),17.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,120.0
"U, Department of Orthopedic Surgery",C09CA01,559951,Losartankalium KrKa,50 mg,filmovertrukne tabl.,112 stk. (blister),108.36,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09,1.0,,,,,,,,,,,,,,,27.09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.18,2.0,,,,,,,,,,,,,,,,,,,,,0.0,112.0
"U, Department of Orthopedic Surgery",C09CA06,587958,Kairasec,8 mg,tabletter,98 stk. (blister),12.19,1.0,,,,,,,,,,,12.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98.0
"U, Department of Orthopedic Surgery",C09AA02,456663,Enalapril Sandoz,10 mg,tabletter,125 stk.,12.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,125.0
